design,rank,dedup_module,benchmark,parallel_cpus,instance_count,module_ir_size,boundary_signal_count,boundary_to_interior_ratio,edge_count_within,fraction_design_covered,original_ir_size,median_throughput_hz,baseline_throughput_hz,relative_speedup
rocket21-1c,ml,IntSyncCrossingSource_1,vvadd,48,5,4,0,0.0,0,3.1441102953891624E-4,63611,48503.2341,51737.248,0.937492
rocket21-1c,ml,IntSyncCrossingSource_1,vvadd,64,5,4,0,0.0,0,3.1441102953891624E-4,63611,31971.1283,36160.9072,0.884135
rocket21-2c,1,TilePRCIDomain,memcpy,32,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,49274.8725,55873.5954,0.881899
rocket21-2c,1,TilePRCIDomain,memcpy,48,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,35800.1508,38914.3151,0.919974
rocket21-2c,1,TilePRCIDomain,memcpy,64,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,25403.3256,26296.0021,0.966053
rocket21-2c,1,TilePRCIDomain,multiply,32,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,45892.9987,48401.4006,0.948175
rocket21-2c,1,TilePRCIDomain,multiply,48,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,35903.6648,37388.9999,0.960273
rocket21-2c,1,TilePRCIDomain,multiply,64,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,23981.8455,24998.1083,0.959346
rocket21-2c,1,TilePRCIDomain,qsort,32,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,45213.0628,48437.615,0.933429
rocket21-2c,1,TilePRCIDomain,qsort,48,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,31442.654,33247.6802,0.94571
rocket21-2c,1,TilePRCIDomain,qsort,64,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,23702.4005,25587.7133,0.92632
rocket21-2c,1,TilePRCIDomain,vvadd,32,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,49005.3961,54061.4512,0.906476
rocket21-2c,1,TilePRCIDomain,vvadd,48,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,37310.0156,44237.5782,0.843401
rocket21-2c,1,TilePRCIDomain,vvadd,64,2,27407,2806,0.030183077684314694,5849,0.5896134070520406,92966,24767.7962,28933.4164,0.856027
rocket21-2c,ml,FPU,memcpy,32,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,54566.8505,55873.5954,0.976612
rocket21-2c,ml,FPU,memcpy,48,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,43350.7337,38914.3151,1.114005
rocket21-2c,ml,FPU,memcpy,64,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,27045.3024,26296.0021,1.028495
rocket21-2c,ml,FPU,multiply,32,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,49401.4634,48401.4006,1.020662
rocket21-2c,ml,FPU,multiply,48,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,38758.3798,37388.9999,1.036625
rocket21-2c,ml,FPU,multiply,64,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,24006.1415,24998.1083,0.960318
rocket21-2c,ml,FPU,qsort,32,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,48704.9259,48437.615,1.005519
rocket21-2c,ml,FPU,qsort,48,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,36567.8635,33247.6802,1.099862
rocket21-2c,ml,FPU,qsort,64,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,24879.4248,25587.7133,0.972319
rocket21-2c,ml,FPU,vvadd,32,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,54122.8847,54061.4512,1.001136
rocket21-2c,ml,FPU,vvadd,48,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,41390.9234,44237.5782,0.935651
rocket21-2c,ml,FPU,vvadd,64,2,4546,388,0.004173568831615859,374,0.09779919540477164,92966,25103.9336,28933.4164,0.867645
rocket21-4c,1,TilePRCIDomain,memcpy,32,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,38620.8043,39219.1042,0.984745
rocket21-4c,1,TilePRCIDomain,memcpy,48,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,30024.5798,28905.6153,1.038711
rocket21-4c,1,TilePRCIDomain,memcpy,64,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,20035.1709,19971.0702,1.00321
rocket21-4c,1,TilePRCIDomain,multiply,32,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,33490.0861,30704.6216,1.090718
rocket21-4c,1,TilePRCIDomain,multiply,48,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,28648.2227,23273.667,1.230929
rocket21-4c,1,TilePRCIDomain,multiply,64,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,17681.3022,16184.1655,1.092506
rocket21-4c,1,TilePRCIDomain,qsort,32,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,31823.5752,27856.6826,1.142404
rocket21-4c,1,TilePRCIDomain,qsort,48,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,24491.7045,20948.5773,1.169135
rocket21-4c,1,TilePRCIDomain,qsort,64,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,17494.7568,15672.6268,1.116262
rocket21-4c,1,TilePRCIDomain,vvadd,32,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,37766.5071,36647.2644,1.030541
rocket21-4c,1,TilePRCIDomain,vvadd,48,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,31216.4638,26602.9242,1.173422
rocket21-4c,1,TilePRCIDomain,vvadd,64,4,27404,2901,0.01900899011873247,5862,0.718265929284722,152612,19541.3635,19291.9102,1.01293
rocket21-4c,ml,TLXbar_7,memcpy,32,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,38335.0423,39219.1042,0.977458
rocket21-4c,ml,TLXbar_7,memcpy,48,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,29371.9169,28905.6153,1.016132
rocket21-4c,ml,TLXbar_7,memcpy,64,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,19857.734,19971.0702,0.994325
rocket21-4c,ml,TLXbar_7,multiply,32,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,30567.9577,30704.6216,0.995549
rocket21-4c,ml,TLXbar_7,multiply,48,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,21941.3962,23273.667,0.942756
rocket21-4c,ml,TLXbar_7,multiply,64,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,16012.656,16184.1655,0.989403
