rank_chosen,cpu,benchmark,parallel_cpus,cycle_count,wall_time_s
2,boom21-2large,vvadd,16,380383,102.86
2,boom21-2large,vvadd,1,380383,61.73
2,boom21-2small,qsort,16,1292091,127.04
2,boom21-2small,qsort,16,1292091,132.63
2,boom21-2small,qsort,16,1292091,131.17
2,boom21-2small,qsort,16,1292091,127.28
2,boom21-2small,qsort,16,1292091,128.75
2,boom21-2small,qsort,16,1292091,128.29
2,boom21-2small,qsort,16,1292091,128.46
2,boom21-2small,qsort,16,1292091,129.04
2,boom21-2small,qsort,16,1292091,132.19
2,boom21-2small,qsort,16,1292091,146.5
2,boom21-2small,qsort,16,1292091,129.26
2,boom21-2small,qsort,16,1292091,131.32
2,boom21-2small,qsort,16,1292091,125.87
2,boom21-2small,qsort,16,1292091,127.02
2,boom21-2small,qsort,16,1292091,128.35
2,boom21-2small,qsort,16,1292091,129.37
2,boom21-2small,qsort,1,1292091,104.62
2,boom21-2small,vvadd,16,435571,31.95
2,boom21-2small,vvadd,16,435571,32.67
2,boom21-2small,vvadd,16,435571,32.13
2,boom21-2small,vvadd,16,435571,31.98
2,boom21-2small,vvadd,16,435571,32.35
2,boom21-2small,vvadd,16,435571,32.24
2,boom21-2small,vvadd,16,435571,32.31
2,boom21-2small,vvadd,16,435571,31.88
2,boom21-2small,vvadd,16,435571,33.14
2,boom21-2small,vvadd,16,435571,31.61
2,boom21-2small,vvadd,16,435571,32.68
2,boom21-2small,vvadd,16,435571,32.33
2,boom21-2small,vvadd,16,435571,32.44
2,boom21-2small,vvadd,16,435571,33.01
2,boom21-2small,vvadd,16,435571,32.11
2,boom21-2small,vvadd,16,435571,32.71
2,boom21-2small,vvadd,1,435571,25.78
2,boom21-large,qsort,16,1035715,200.71
2,boom21-large,qsort,16,1035715,200.04
2,boom21-large,qsort,16,1035715,253.25
2,boom21-large,qsort,16,1035715,195.54
2,boom21-large,qsort,16,1035715,196.84
2,boom21-large,qsort,16,1035715,195.03
2,boom21-large,qsort,16,1035715,197.07
2,boom21-large,qsort,16,1035715,197.98
2,boom21-large,qsort,16,1035715,196.92
2,boom21-large,qsort,16,1035715,193.81
2,boom21-large,qsort,16,1035715,201.23
2,boom21-large,qsort,16,1035715,203.46
2,boom21-large,qsort,16,1035715,199.74
2,boom21-large,qsort,16,1035715,218.68
2,boom21-large,qsort,16,1035715,186.66
2,boom21-large,qsort,16,1035715,190.4
2,boom21-large,qsort,1,1035715,118.94
2,boom21-large,vvadd,16,377711,46.31
2,boom21-large,vvadd,16,377711,46.71
2,boom21-large,vvadd,16,377711,46.68
2,boom21-large,vvadd,16,377711,47.15
2,boom21-large,vvadd,16,377711,46.63
2,boom21-large,vvadd,16,377711,48.48
2,boom21-large,vvadd,16,377711,47.24
2,boom21-large,vvadd,16,377711,47.0
2,boom21-large,vvadd,16,377711,47.76
2,boom21-large,vvadd,16,377711,47.5
2,boom21-large,vvadd,16,377711,47.42
2,boom21-large,vvadd,16,377711,47.44
2,boom21-large,vvadd,16,377711,46.45
2,boom21-large,vvadd,16,377711,47.07
2,boom21-large,vvadd,16,377711,47.48
2,boom21-large,vvadd,16,377711,47.08
2,boom21-large,vvadd,1,377711,32.83
2,boom21-small,qsort,16,1287655,62.17
2,boom21-small,qsort,16,1287655,62.8
2,boom21-small,qsort,16,1287655,61.42
2,boom21-small,qsort,16,1287655,62.52
2,boom21-small,qsort,16,1287655,62.68
2,boom21-small,qsort,16,1287655,62.8
2,boom21-small,qsort,16,1287655,61.87
2,boom21-small,qsort,16,1287655,59.8
2,boom21-small,qsort,16,1287655,63.99
2,boom21-small,qsort,16,1287655,63.34
2,boom21-small,qsort,16,1287655,62.57
2,boom21-small,qsort,16,1287655,59.61
2,boom21-small,qsort,16,1287655,59.42
2,boom21-small,qsort,16,1287655,59.88
2,boom21-small,qsort,16,1287655,61.82
2,boom21-small,qsort,16,1287655,60.4
2,boom21-small,qsort,1,1287655,56.45
2,boom21-small,vvadd,16,432839,15.21
2,boom21-small,vvadd,16,432839,17.62
2,boom21-small,vvadd,16,432839,15.78
2,boom21-small,vvadd,16,432839,15.99
2,boom21-small,vvadd,16,432839,15.32
2,boom21-small,vvadd,16,432839,14.69
2,boom21-small,vvadd,16,432839,15.12
2,boom21-small,vvadd,16,432839,15.42
2,boom21-small,vvadd,16,432839,15.29
2,boom21-small,vvadd,16,432839,14.91
2,boom21-small,vvadd,16,432839,14.87
2,boom21-small,vvadd,16,432839,15.52
2,boom21-small,vvadd,16,432839,15.06
2,boom21-small,vvadd,16,432839,15.21
2,boom21-small,vvadd,16,432839,15.75
2,boom21-small,vvadd,16,432839,14.99
2,boom21-small,vvadd,1,432839,13.47
2,rocket21-1c,qsort,16,793459,11.76
2,rocket21-1c,qsort,16,793459,11.56
2,rocket21-1c,qsort,16,793459,11.83
2,rocket21-1c,qsort,16,793459,11.45
2,rocket21-1c,qsort,16,793459,11.65
2,rocket21-1c,qsort,16,793459,11.21
2,rocket21-1c,qsort,16,793459,11.9
2,rocket21-1c,qsort,16,793459,11.23
2,rocket21-1c,qsort,16,793459,11.7
2,rocket21-1c,qsort,16,793459,11.33
2,rocket21-1c,qsort,16,793459,11.42
2,rocket21-1c,qsort,16,793459,11.7
2,rocket21-1c,qsort,16,793459,11.69
2,rocket21-1c,qsort,16,793459,11.36
2,rocket21-1c,qsort,16,793459,11.53
2,rocket21-1c,qsort,16,793459,11.61
2,rocket21-1c,qsort,1,793459,10.54
2,rocket21-1c,vvadd,16,237215,3.76
2,rocket21-1c,vvadd,16,237215,3.71
2,rocket21-1c,vvadd,16,237215,3.63
2,rocket21-1c,vvadd,16,237215,3.84
2,rocket21-1c,vvadd,16,237215,3.77
2,rocket21-1c,vvadd,16,237215,3.7
2,rocket21-1c,vvadd,16,237215,3.79
2,rocket21-1c,vvadd,16,237215,3.84
2,rocket21-1c,vvadd,16,237215,3.74
2,rocket21-1c,vvadd,16,237215,4.18
2,rocket21-1c,vvadd,16,237215,3.64
2,rocket21-1c,vvadd,16,237215,3.71
2,rocket21-1c,vvadd,16,237215,3.74
2,rocket21-1c,vvadd,16,237215,3.77
2,rocket21-1c,vvadd,16,237215,3.65
2,rocket21-1c,vvadd,16,237215,3.65
2,rocket21-1c,vvadd,1,237215,3.48
2,rocket21-2c,qsort,16,794619,18.32
2,rocket21-2c,qsort,16,794619,18.44
2,rocket21-2c,qsort,16,794619,19.12
2,rocket21-2c,qsort,16,794619,18.11
2,rocket21-2c,qsort,16,794619,18.31
2,rocket21-2c,qsort,16,794619,18.59
2,rocket21-2c,qsort,16,794619,18.42
2,rocket21-2c,qsort,16,794619,19.39
2,rocket21-2c,qsort,16,794619,19.89
2,rocket21-2c,qsort,16,794619,19.47
2,rocket21-2c,qsort,16,794619,19.33
2,rocket21-2c,qsort,16,794619,19.39
2,rocket21-2c,qsort,16,794619,19.66
2,rocket21-2c,qsort,16,794619,18.28
2,rocket21-2c,qsort,16,794619,19.0
2,rocket21-2c,qsort,16,794619,19.12
2,rocket21-2c,qsort,1,794619,17.48
2,rocket21-2c,vvadd,16,238411,5.46
2,rocket21-2c,vvadd,16,238411,5.51
2,rocket21-2c,vvadd,16,238411,5.52
2,rocket21-2c,vvadd,16,238411,5.33
