rank_chosen,cpu,benchmark,cycle_count,wall_time_s
0,boom21-large,qsort,1035715,196.41
0,boom21-large,qsort,1035715,167.74
0,boom21-large,qsort,1035715,165.06
0,boom21-large,qsort,1035715,165.85
0,boom21-large,qsort,1035715,164.53
0,boom21-large,qsort,1035715,168.37
0,boom21-large,qsort,1035715,168.84
0,boom21-large,qsort,1035715,203.28
0,boom21-large,qsort,1035715,169.58
0,boom21-large,qsort,1035715,168.09
0,boom21-large,qsort,1035715,172.22
0,boom21-large,qsort,1035715,171.58
0,boom21-large,qsort,1035715,198.95
0,boom21-large,qsort,1035715,210.73
0,boom21-large,qsort,1035715,204.39
0,boom21-large,qsort,1035715,199.93
0,boom21-large,qsort,1035715,203.63
0,boom21-large,qsort,1035715,206.16
0,boom21-large,qsort,1035715,205.94
0,boom21-large,qsort,1035715,201.67
0,boom21-large,qsort,1035715,200.91
0,boom21-large,qsort,1035715,206.47
0,boom21-large,qsort,1035715,204.62
0,boom21-large,qsort,1035715,211.03
0,boom21-large,qsort,1035715,206.26
0,boom21-large,qsort,1035715,200.09
0,boom21-large,qsort,1035715,200.7
0,boom21-large,qsort,1035715,199.93
0,boom21-large,qsort,1035715,121.1
0,boom21-large,qsort,1035715,119.15
0,boom21-large,qsort,1035715,122.15
0,boom21-large,qsort,1035715,122.58
0,boom21-large,qsort,1035715,124.57
0,boom21-large,qsort,1035715,120.57
0,boom21-large,qsort,1035715,121.22
0,boom21-large,qsort,1035715,137.49
0,boom21-large,qsort,1035715,152.92
0,boom21-large,qsort,1035715,132.76
0,boom21-large,qsort,1035715,140.9
0,boom21-large,qsort,1035715,141.64
0,boom21-large,qsort,1035715,139.04
0,boom21-large,qsort,1035715,139.35
0,boom21-large,qsort,1035715,152.03
0,boom21-small,memcpy,7942319,334.43
0,boom21-small,memcpy,7942319,343.42
0,boom21-small,memcpy,7942319,336.22
0,boom21-small,memcpy,7942319,340.89
0,boom21-small,memcpy,7942319,357.56
0,boom21-small,memcpy,7942319,336.98
0,boom21-small,memcpy,7942319,334.42
0,boom21-small,memcpy,7942319,341.29
0,boom21-small,memcpy,7942319,334.47
0,boom21-small,memcpy,7942319,336.33
0,boom21-small,memcpy,7942319,336.07
0,boom21-small,memcpy,7942319,336.05
0,boom21-small,memcpy,7942319,349.51
0,boom21-small,memcpy,7942319,344.38
0,boom21-small,memcpy,7942319,362.81
0,boom21-small,memcpy,7942319,348.73
0,boom21-small,memcpy,7942319,342.51
0,boom21-small,memcpy,7942319,360.2
0,boom21-small,memcpy,7942319,351.12
0,boom21-small,memcpy,7942319,358.22
0,boom21-small,memcpy,7942319,352.81
0,boom21-small,memcpy,7942319,362.48
0,boom21-small,memcpy,7942319,344.94
0,boom21-small,memcpy,7942319,341.67
0,boom21-small,memcpy,7942319,356.35
0,boom21-small,memcpy,7942319,352.33
0,boom21-small,memcpy,7942319,342.74
0,boom21-small,memcpy,7942319,354.29
0,boom21-small,memcpy,7942319,326.15
0,boom21-small,memcpy,7942319,309.54
0,boom21-small,memcpy,7942319,327.85
0,boom21-small,memcpy,7942319,316.57
0,boom21-small,memcpy,7942319,326.2
0,boom21-small,memcpy,7942319,320.47
0,boom21-small,memcpy,7942319,329.84
0,boom21-small,memcpy,7942319,330.43
0,boom21-small,memcpy,7942319,329.16
0,boom21-small,memcpy,7942319,342.27
0,boom21-small,memcpy,7942319,340.24
0,boom21-small,memcpy,7942319,330.26
0,boom21-small,memcpy,7942319,364.87
0,boom21-small,memcpy,7942319,334.39
0,boom21-small,memcpy,7942319,327.4
0,boom21-small,qsort,1287415,62.5
0,boom21-small,qsort,1287415,62.29
0,boom21-small,qsort,1287415,63.47
0,boom21-small,qsort,1287415,63.18
0,boom21-small,qsort,1287415,61.98
0,boom21-small,qsort,1287415,63.95
0,boom21-small,qsort,1287415,65.42
0,boom21-small,qsort,1287415,68.73
0,boom21-small,qsort,1287415,63.15
0,boom21-small,qsort,1287415,65.41
0,boom21-small,qsort,1287415,62.97
0,boom21-small,qsort,1287415,64.2
0,boom21-small,qsort,1287415,66.02
0,boom21-small,qsort,1287415,64.57
0,boom21-small,qsort,1287415,65.9
0,boom21-small,qsort,1287415,64.8
0,boom21-small,qsort,1287415,65.96
0,boom21-small,qsort,1287415,64.64
0,boom21-small,qsort,1287415,64.45
0,boom21-small,qsort,1287415,74.49
0,boom21-small,qsort,1287415,63.94
0,boom21-small,qsort,1287415,65.31
0,boom21-small,qsort,1287415,64.64
0,boom21-small,qsort,1287415,65.41
0,boom21-small,qsort,1287415,64.13
